Country Code,Region,IncomeGroup,TableName,SpecialNotes
ABW,Latin America & Caribbean,High income,Aruba,
AFE,,,Africa Eastern and Southern,"26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)"
AFG,South Asia,Low income,Afghanistan,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
AFW,,,Africa Western and Central,"22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)"
AGO,Sub-Saharan Africa,Lower middle income,Angola,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
ALB,Europe & Central Asia,Upper middle income,Albania,
AND,Europe & Central Asia,High income,Andorra,
ARB,,,Arab World,Arab World aggregate. Arab World is composed of members of the League of Arab States.
ARE,Middle East & North Africa,High income,United Arab Emirates,
ARG,Latin America & Caribbean,Upper middle income,Argentina,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
ARM,Europe & Central Asia,Upper middle income,Armenia,
ASM,East Asia & Pacific,Upper middle income,American Samoa,
ATG,Latin America & Caribbean,High income,Antigua and Barbuda,
AUS,East Asia & Pacific,High income,Australia,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
AUT,Europe & Central Asia,High income,Austria,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
AZE,Europe & Central Asia,Upper middle income,Azerbaijan,
BDI,Sub-Saharan Africa,Low income,Burundi,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1983-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
BEL,Europe & Central Asia,High income,Belgium,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
BEN,Sub-Saharan Africa,Lower middle income,Benin,
BFA,Sub-Saharan Africa,Low income,Burkina Faso,
BGD,South Asia,Lower middle income,Bangladesh,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
BGR,Europe & Central Asia,Upper middle income,Bulgaria,
BHR,Middle East & North Africa,High income,Bahrain,
BHS,Latin America & Caribbean,High income,"Bahamas, The",
BIH,Europe & Central Asia,Upper middle income,Bosnia and Herzegovina,
BLR,Europe & Central Asia,Upper middle income,Belarus,"Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)"
BLZ,Latin America & Caribbean,Upper middle income,Belize,
BMU,North America,High income,Bermuda,
BOL,Latin America & Caribbean,Lower middle income,Bolivia,
BRA,Latin America & Caribbean,Upper middle income,Brazil,
BRB,Latin America & Caribbean,High income,Barbados,
BRN,East Asia & Pacific,High income,Brunei Darussalam,
BTN,South Asia,Lower middle income,Bhutan,
BWA,Sub-Saharan Africa,Upper middle income,Botswana,
CAF,Sub-Saharan Africa,Low income,Central African Republic,
CAN,North America,High income,Canada,Fiscal year end: March 31; reporting period for national accounts data: CY.
CEB,,,Central Europe and the Baltics,Central Europe and the Baltics aggregate.
CHE,Europe & Central Asia,High income,Switzerland,
CHI,Europe & Central Asia,High income,Channel Islands,
CHL,Latin America & Caribbean,High income,Chile,
CHN,East Asia & Pacific,Upper middle income,China,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong, and on 20 December 1999, China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1978-1993. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
CIV,Sub-Saharan Africa,Lower middle income,Côte d'Ivoire,
CMR,Sub-Saharan Africa,Lower middle income,Cameroon,
COD,Sub-Saharan Africa,Low income,"Congo, Dem. Rep.","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1999-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
COG,Sub-Saharan Africa,Lower middle income,"Congo, Rep.",
COL,Latin America & Caribbean,Upper middle income,Colombia,
COM,Sub-Saharan Africa,Lower middle income,Comoros,
CPV,Sub-Saharan Africa,Lower middle income,Cabo Verde,
CRI,Latin America & Caribbean,Upper middle income,Costa Rica,
CSS,,,Caribbean small states,
CUB,Latin America & Caribbean,Upper middle income,Cuba,
CUW,Latin America & Caribbean,High income,Curaçao,
CYM,Latin America & Caribbean,High income,Cayman Islands,
CYP,Europe & Central Asia,High income,Cyprus,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
CZE,Europe & Central Asia,High income,Czech Republic,
DEU,Europe & Central Asia,High income,Germany,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 Deutsche Mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
DJI,Middle East & North Africa,Lower middle income,Djibouti,
DMA,Latin America & Caribbean,Upper middle income,Dominica,
DNK,Europe & Central Asia,High income,Denmark,
